VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,PurchasePrice,ActualPrice,Volume,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
8004,SAZERAC CO INC,2664,Firefly Moonshine,74.0,777.0,10.5,16.99,750,73.0,1060.27,886.39,57.58,50293.62,283.27,26.71678,0.98649,1.36457
8004,SAZERAC CO INC,5371,Dr McGillicudy's Buttersctch,70.0,55.3,0.79,0.99,50,79.0,78.21,27.72,4.11,50293.62,22.91,29.29293,1.12857,1.41429
8352,LUXCO INC,1009,Rebel Yell Variety Pack,37.0,1433.75,38.75,49.99,750,51.0,2549.49,2299.54,40.24,10261.6,1115.74,43.76326,1.37838,1.7782
8352,LUXCO INC,1022,St Brendans Salted Caramel,111.0,1176.6,10.6,13.99,750,116.0,1622.84,1077.23,91.45,10261.6,446.24,27.49747,1.04505,1.37926
8664,"STOLI GROUP,(USA) LLC",3147,Stolichnaya Chocolat Kokonut,64.0,45.44,0.71,0.99,50,329.0,325.71,157.41,16.89,18544.49,280.27,86.04894,5.14063,7.16791
8664,"STOLI GROUP,(USA) LLC",7590,Stoli 80 VAP Lemonade Shaker,4.0,53.08,13.27,16.99,750,59.0,1052.41,659.63,46.49,18544.49,999.33,94.95634,14.75,19.82687
9165,ULTRA BEVERAGE COMPANY LLP,2242,Cles des Ducs Armagnac VSOP,28.0,449.4,16.05,30.99,750,70.0,1539.3,1209.45,55.16,68054.7,1089.9,70.80491,2.5,3.42523
9165,ULTRA BEVERAGE COMPANY LLP,2369,Amrut Fusion Single Malt,10.0,503.8,50.38,64.99,750,9.0,599.91,599.91,7.11,68054.7,96.11,16.02074,0.9,1.19077
9165,ULTRA BEVERAGE COMPANY LLP,2636,Nikka Whisky Taketsuru 12 Yr,45.0,2197.35,48.83,68.99,750,67.0,4544.33,2591.62,52.83,68054.7,2346.98,51.64634,1.48889,2.0681
9165,ULTRA BEVERAGE COMPANY LLP,4105,Patron XO Cafe Variety 3 Pak,72.0,365.04,5.07,6.99,50,564.0,3942.36,1859.34,28.9,68054.7,3577.32,90.74057,7.83333,10.7998
